Category: Economics

Day,Geo: United States
2012-01-01,31
2012-01-02,40
2012-01-03,56
2012-01-04,61
2012-01-05,65
2012-01-06,65
2012-01-07,43
2012-01-08,46
2012-01-09,63
2012-01-10,65
2012-01-11,74
2012-01-12,72
2012-01-13,68
2012-01-14,41
2012-01-15,47
2012-01-16,59
2012-01-17,75
2012-01-18,83
2012-01-19,82
2012-01-20,76
2012-01-21,52
2012-01-22,61
2012-01-23,82
2012-01-24,90
2012-01-25,95
2012-01-26,91
2012-01-27,81
2012-01-28,57
2012-01-29,67
2012-01-30,89
2012-01-31,95
2012-02-01,92
2012-02-02,89
2012-02-03,79
2012-02-04,54
2012-02-05,63
2012-02-06,81
2012-02-07,96
2012-02-08,92
2012-02-09,92
2012-02-10,85
2012-02-11,53
2012-02-12,63
2012-02-13,93
2012-02-14,93
2012-02-15,83
2012-02-16,81
2012-02-17,83
2012-02-18,50
2012-02-19,55
2012-02-20,71
2012-02-21,94
2012-02-22,88
2012-02-23,92
2012-02-24,71
2012-02-25,51
2012-02-26,64
2012-02-27,85
2012-02-28,90
2012-02-29,88
2012-03-01,85
2012-03-02,76
2012-03-03,49
2012-03-04,58
2012-03-05,80
2012-03-06,83
2012-03-07,77
2012-03-08,78
2012-03-09,77
2012-03-10,46
2012-03-11,55
2012-03-12,73
2012-03-13,77
2012-03-14,78
2012-03-15,75
2012-03-16,66
2012-03-17,44
2012-03-18,51
2012-03-19,75
2012-03-20,78
2012-03-21,82
2012-03-22,80
2012-03-23,75
2012-03-24,45
2012-03-25,57
2012-03-26,76
2012-03-27,79
2012-03-28,81
2012-03-29,82
2012-03-30,71
2012-03-31,44
2012-04-01,55
2012-04-02,75
2012-04-03,75
2012-04-04,77
2012-04-05,80
2012-04-06,62
2012-04-07,47
2012-04-08,49
2012-04-09,76
2012-04-10,77
2012-04-11,80
2012-04-12,77
2012-04-13,69
2012-04-14,46
2012-04-15,60
2012-04-16,79
2012-04-17,89
2012-04-18,81
2012-04-19,81
2012-04-20,71
2012-04-21,47
2012-04-22,61
2012-04-23,85
2012-04-24,83
2012-04-25,88
2012-04-26,84
2012-04-27,76
2012-04-28,53
2012-04-29,71
2012-04-30,94
2012-05-01,100
2012-05-02,93
2012-05-03,90
2012-05-04,79
2012-05-05,54
2012-05-06,61
2012-05-07,87
2012-05-08,91
2012-05-09,81
2012-05-10,84
2012-05-11,74
2012-05-12,45
2012-05-13,48
2012-05-14,69
2012-05-15,73
2012-05-16,73
2012-05-17,77
2012-05-18,59
2012-05-19,42
2012-05-20,46
2012-05-21,61
2012-05-22,63
2012-05-23,63
2012-05-24,69
2012-05-25,56
2012-05-26,36
2012-05-27,36
2012-05-28,40
2012-05-29,60
2012-05-30,63
2012-05-31,61
2012-06-01,60
2012-06-02,42
2012-06-03,47
2012-06-04,61
2012-06-05,58
2012-06-06,56
2012-06-07,58
2012-06-08,50
2012-06-09,40
2012-06-10,44
2012-06-11,55
2012-06-12,58
2012-06-13,57
2012-06-14,58
2012-06-15,50
2012-06-16,35
2012-06-17,37
2012-06-18,50
2012-06-19,51
2012-06-20,50
2012-06-21,49
2012-06-22,45
2012-06-23,36
2012-06-24,37
2012-06-25,46
2012-06-26,49
2012-06-27,50
2012-06-28,56
2012-06-29,47
2012-06-30,34
2012-07-01,35
2012-07-02,46
2012-07-03,47
2012-07-04,31
2012-07-05,42
2012-07-06,50
2012-07-07,38
2012-07-08,40
2012-07-09,54
2012-07-10,54
2012-07-11,58
2012-07-12,56
2012-07-13,48
2012-07-14,38
2012-07-15,41
2012-07-16,54
2012-07-17,63
2012-07-18,61
2012-07-19,51
2012-07-20,45
2012-07-21,36
2012-07-22,43
2012-07-23,55
2012-07-24,56
2012-07-25,54
2012-07-26,54
2012-07-27,54
2012-07-28,37
2012-07-29,39
2012-07-30,48
2012-07-31,50
2012-08-01,50
