Category: Books & Literature

Day,Geo: Canada
2012-01-01,66
2012-01-02,76
2012-01-03,77
2012-01-04,75
2012-01-05,78
2012-01-06,77
2012-01-07,76
2012-01-08,80
2012-01-09,84
2012-01-10,86
2012-01-11,86
2012-01-12,87
2012-01-13,85
2012-01-14,80
2012-01-15,86
2012-01-16,91
2012-01-17,91
2012-01-18,89
2012-01-19,84
2012-01-20,84
2012-01-21,80
2012-01-22,87
2012-01-23,88
2012-01-24,91
2012-01-25,85
2012-01-26,89
2012-01-27,80
2012-01-28,78
2012-01-29,79
2012-01-30,84
2012-01-31,83
2012-02-01,80
2012-02-02,81
2012-02-03,77
2012-02-04,75
2012-02-05,75
2012-02-06,80
2012-02-07,91
2012-02-08,86
2012-02-09,85
2012-02-10,80
2012-02-11,79
2012-02-12,76
2012-02-13,82
2012-02-14,100
2012-02-15,86
2012-02-16,83
2012-02-17,80
2012-02-18,68
2012-02-19,72
2012-02-20,75
2012-02-21,82
2012-02-22,78
2012-02-23,80
2012-02-24,76
2012-02-25,74
2012-02-26,82
2012-02-27,79
2012-02-28,88
2012-02-29,81
2012-03-01,85
2012-03-02,87
2012-03-03,78
2012-03-04,84
2012-03-05,85
2012-03-06,87
2012-03-07,78
2012-03-08,81
2012-03-09,80
2012-03-10,72
2012-03-11,73
2012-03-12,81
2012-03-13,79
2012-03-14,77
2012-03-15,76
2012-03-16,74
2012-03-17,72
2012-03-18,75
2012-03-19,76
2012-03-20,84
2012-03-21,82
2012-03-22,77
2012-03-23,77
2012-03-24,72
2012-03-25,85
2012-03-26,88
2012-03-27,83
2012-03-28,88
2012-03-29,81
2012-03-30,80
2012-03-31,74
2012-04-01,87
2012-04-02,95
2012-04-03,88
2012-04-04,90
2012-04-05,81
2012-04-06,70
2012-04-07,74
2012-04-08,79
2012-04-09,79
2012-04-10,81
2012-04-11,86
2012-04-12,82
2012-04-13,78
2012-04-14,75
2012-04-15,85
2012-04-16,89
2012-04-17,85
2012-04-18,82
2012-04-19,82
2012-04-20,74
2012-04-21,71
2012-04-22,77
2012-04-23,85
2012-04-24,81
2012-04-25,84
2012-04-26,78
2012-04-27,72
2012-04-28,72
2012-04-29,77
2012-04-30,88
2012-05-01,86
2012-05-02,77
2012-05-03,78
2012-05-04,73
2012-05-05,64
2012-05-06,73
2012-05-07,79
2012-05-08,85
2012-05-09,82
2012-05-10,79
2012-05-11,80
2012-05-12,67
2012-05-13,78
2012-05-14,79
2012-05-15,76
2012-05-16,77
2012-05-17,74
2012-05-18,68
2012-05-19,58
2012-05-20,57
2012-05-21,63
2012-05-22,79
2012-05-23,84
2012-05-24,78
2012-05-25,73
2012-05-26,63
2012-05-27,80
2012-05-28,91
2012-05-29,84
2012-05-30,77
2012-05-31,79
2012-06-01,77
2012-06-02,72
2012-06-03,80
2012-06-04,90
2012-06-05,85
2012-06-06,82
2012-06-07,78
2012-06-08,74
2012-06-09,67
2012-06-10,72
2012-06-11,76
2012-06-12,78
2012-06-13,77
2012-06-14,74
2012-06-15,72
2012-06-16,63
2012-06-17,71
2012-06-18,69
2012-06-19,72
2012-06-20,66
2012-06-21,67
2012-06-22,63
2012-06-23,62
2012-06-24,66
2012-06-25,63
2012-06-26,64
2012-06-27,62
2012-06-28,63
2012-06-29,57
2012-06-30,53
2012-07-01,55
2012-07-02,48
2012-07-03,59
2012-07-04,65
2012-07-05,65
2012-07-06,60
2012-07-07,59
2012-07-08,63
2012-07-09,60
2012-07-10,63
2012-07-11,62
2012-07-12,63
2012-07-13,61
2012-07-14,59
2012-07-15,65
2012-07-16,64
2012-07-17,65
2012-07-18,65
2012-07-19,65
2012-07-20,58
2012-07-21,59
2012-07-22,66
2012-07-23,63
2012-07-24,67
2012-07-25,68
2012-07-26,68
2012-07-27,63
2012-07-28,58
2012-07-29,60
2012-07-30,60
2012-07-31,63
2012-08-01,61
