Category: Books & Literature

Day,Geo: United States
2012-01-01,63
2012-01-02,73
2012-01-03,77
2012-01-04,81
2012-01-05,79
2012-01-06,80
2012-01-07,72
2012-01-08,74
2012-01-09,81
2012-01-10,82
2012-01-11,82
2012-01-12,87
2012-01-13,86
2012-01-14,70
2012-01-15,69
2012-01-16,89
2012-01-17,86
2012-01-18,84
2012-01-19,83
2012-01-20,81
2012-01-21,72
2012-01-22,77
2012-01-23,83
2012-01-24,87
2012-01-25,86
2012-01-26,93
2012-01-27,83
2012-01-28,71
2012-01-29,74
2012-01-30,85
2012-01-31,84
2012-02-01,86
2012-02-02,89
2012-02-03,79
2012-02-04,69
2012-02-05,73
2012-02-06,78
2012-02-07,94
2012-02-08,92
2012-02-09,85
2012-02-10,86
2012-02-11,69
2012-02-12,73
2012-02-13,85
2012-02-14,99
2012-02-15,87
2012-02-16,87
2012-02-17,77
2012-02-18,63
2012-02-19,70
2012-02-20,75
2012-02-21,87
2012-02-22,83
2012-02-23,88
2012-02-24,80
2012-02-25,69
2012-02-26,75
2012-02-27,86
2012-02-28,90
2012-02-29,86
2012-03-01,89
2012-03-02,95
2012-03-03,66
2012-03-04,70
2012-03-05,86
2012-03-06,86
2012-03-07,84
2012-03-08,85
2012-03-09,77
2012-03-10,66
2012-03-11,71
2012-03-12,75
2012-03-13,78
2012-03-14,78
2012-03-15,78
2012-03-16,77
2012-03-17,63
2012-03-18,73
2012-03-19,85
2012-03-20,87
2012-03-21,85
2012-03-22,81
2012-03-23,77
2012-03-24,66
2012-03-25,73
2012-03-26,85
2012-03-27,86
2012-03-28,87
2012-03-29,82
2012-03-30,77
2012-03-31,65
2012-04-01,72
2012-04-02,85
2012-04-03,77
2012-04-04,80
2012-04-05,77
2012-04-06,73
2012-04-07,64
2012-04-08,67
2012-04-09,81
2012-04-10,77
2012-04-11,83
2012-04-12,84
2012-04-13,77
2012-04-14,63
2012-04-15,73
2012-04-16,84
2012-04-17,84
2012-04-18,84
2012-04-19,85
2012-04-20,77
2012-04-21,64
2012-04-22,73
2012-04-23,89
2012-04-24,83
2012-04-25,86
2012-04-26,91
2012-04-27,80
2012-04-28,67
2012-04-29,77
2012-04-30,100
2012-05-01,98
2012-05-02,90
2012-05-03,82
2012-05-04,76
2012-05-05,62
2012-05-06,68
2012-05-07,87
2012-05-08,91
2012-05-09,88
2012-05-10,88
2012-05-11,86
2012-05-12,64
2012-05-13,74
2012-05-14,86
2012-05-15,80
2012-05-16,78
2012-05-17,77
2012-05-18,72
2012-05-19,59
2012-05-20,65
2012-05-21,77
2012-05-22,81
2012-05-23,81
2012-05-24,76
2012-05-25,71
2012-05-26,60
2012-05-27,61
2012-05-28,63
2012-05-29,74
2012-05-30,69
2012-05-31,72
2012-06-01,68
2012-06-02,64
2012-06-03,66
2012-06-04,76
2012-06-05,71
2012-06-06,65
2012-06-07,71
2012-06-08,62
2012-06-09,58
2012-06-10,59
2012-06-11,63
2012-06-12,65
2012-06-13,71
2012-06-14,64
2012-06-15,61
2012-06-16,58
2012-06-17,58
2012-06-18,58
2012-06-19,63
2012-06-20,60
2012-06-21,59
2012-06-22,60
2012-06-23,61
2012-06-24,62
2012-06-25,62
2012-06-26,62
2012-06-27,63
2012-06-28,60
2012-06-29,58
2012-06-30,57
2012-07-01,57
2012-07-02,58
2012-07-03,58
2012-07-04,50
2012-07-05,53
2012-07-06,60
2012-07-07,62
2012-07-08,63
2012-07-09,62
2012-07-10,62
2012-07-11,62
2012-07-12,63
2012-07-13,63
2012-07-14,62
2012-07-15,62
2012-07-16,63
2012-07-17,64
2012-07-18,61
2012-07-19,62
2012-07-20,58
2012-07-21,59
2012-07-22,61
2012-07-23,60
2012-07-24,64
2012-07-25,61
2012-07-26,68
2012-07-27,61
2012-07-28,57
2012-07-29,60
2012-07-30,60
2012-07-31,62
2012-08-01,63
